timestamps,,,,,Marker
1496178844.355,-327.927,-523.713,-69.323,-335.974,0
1496178844.355,-42.152,-267.236,425.595,290.659,0
1496178844.355,-649.478,-445.409,82.586,372.120,0
1496178844.355,-915.666,-688.087,-403.417,-245.341,0
1496178844.357,-321.783,-521.439,-72.113,-333.786,0
1496178844.358,-35.293,-262.906,430.476,294.171,0
1496178844.385,-645.828,-436.961,83.985,378.512,0
1496178844.385,-921.242,-681.928,-403.122,-237.615,0
1496178844.385,-325.261,-526.069,-70.075,-337.230,0
1496178844.385,-39.778,-266.200,426.994,288.397,0
1496178844.387,-640.907,-433.019,96.689,381.488,0
1496178844.387,-917.461,-685.671,-405.837,-244.215,0
1496178844.415,-324.277,-526.301,-66.279,-337.171,0
1496178844.415,-44.856,-272.248,425.378,286.833,0
1496178844.415,-643.547,-434.201,87.841,381.215,0
1496178844.415,-917.517,-681.550,-403.369,-240.262,0
1496178844.417,-325.272,-527.834,-69.502,-340.671,0
1496178844.417,-44.610,-268.542,425.655,286.119,0
1496178844.475,-645.581,-437.439,86.042,376.226,0
1496178844.475,-924.391,-693.996,-408.567,-245.925,0
1496178844.475,-329.038,-523.807,-71.944,-336.617,0
1496178844.475,-44.194,-266.339,424.110,283.580,0
1496178844.476,-646.195,-435.745,91.760,379.955,0
1496178844.476,-919.095,-686.745,-401.798,-235.894,0
1496178844.477,-331.667,-530.030,-77.106,-341.741,0
1496178844.477,-39.837,-262.726,429.496,284.982,0
1496178844.477,-643.801,-431.298,90.844,382.898,0
1496178844.477,-922.802,-688.102,-402.194,-242.660,0
1496178844.479,-328.316,-529.731,-67.872,-337.208,0
1496178844.479,-41.726,-264.686,425.101,286.949,0
1496178844.625,-645.914,-433.400,89.221,383.179,0
1496178844.625,-927.076,-696.970,-403.193,-241.560,0
1496178844.625,-328.814,-525.538,-67.049,-336.808,0
1496178844.625,-41.494,-269.948,421.720,280.457,0
1496178844.626,-631.142,-429.163,99.180,381.335,0
1496178844.626,-927.099,-693.503,-400.983,-241.437,0
1496178844.627,-331.682,-532.012,-72.427,-337.575,0
1496178844.627,-39.725,-268.156,423.766,285.091,0
1496178844.627,-634.837,-428.789,97.946,383.856,0
1496178844.627,-926.242,-691.835,-407.438,-240.079,0
1496178844.629,-341.462,-539.222,-79.323,-344.007,537
1496178844.629,-43.600,-266.623,419.750,278.187,0
1496178844.685,547.624,-98.004,750.523,179.356,0
1496178844.685,855.697,178.597,1253.743,801.550,0
1496178844.685,251.093,8.918,916.390,903.128,0
1496178844.685,-44.954,-260.695,416.851,280.401,0
1496178844.686,540.279,-109.699,744.812,170.078,0
1496178844.686,851.302,177.378,1252.532,798.637,0
1496178844.687,254.119,11.338,919.782,901.340,0
1496178844.687,-42.897,-263.093,429.705,279.761,0
1496178844.687,549.210,-97.656,759.686,180.527,0
1496178844.687,859.425,172.673,1253.067,798.472,0
1496178844.689,254.863,11.790,915.122,903.607,0
1496178844.689,-41.240,-254.895,429.017,284.896,0
1496178844.865,541.188,-96.819,754.790,174.449,0
